id_item,id_requerido
8414,5645
4864,6348
9721,4276
7968,8144
4013,5172
3812,8261
9294,9921
6844,6467
6214,5288
7578,3651
5608,1946
1591,6566
3192,626
5579,9562
181,6475
4373,9593
7558,2722
1642,9465
645,6121
8360,8102
6172,1789
1765,5001
8063,5689
6581,3928
3341,2532
3761,9047
1558,850
8352,1539
5090,3205
5570,9197
8834,5642
158,3731
669,4026
1615,8377
300,267
6338,460
2108,4692
1494,5812
1456,6244
9532,7311
6935,1897
5854,2622
3224,2435
4330,1491
894,2443
9981,6136
7550,3664
5877,5364
5043,2120
2574,4673
2263,5933
5495,8661
702,8337
744,4264
9198,2978
9142,6330
108,9127
1073,6245
5830,3037
8484,6439
9544,9027
8605,1370
6776,4824
2005,3210
726,2414
475,3962
6120,3939
361,2104
7392,4036
7124,6337
796,257
9066,9892
5219,2959
9044,6236
9016,2835
1970,3935
3805,5492
1346,6118
7749,7704
5041,7916
9288,5187
2082,757
6883,5577
9892,4775
6653,2153
687,101
5884,3159
1798,2594
305,4829
3349,7616
2661,4390
7887,9515
3736,2213
7329,2209
162,6044
148,8962
293,6718
2193,6736
3739,8062
6078,6686
