id,valor,peso,volumen,categoria
0,78.1894,40.0306,6.3196,cat11
1,6.7503,8.6449,5.5238,cat9
2,65.4380,17.3517,5.1431,cat0
3,22.0216,48.5256,25.1408,cat0
4,61.5537,49.6184,18.9070,cat10
5,61.5734,22.1653,9.4456,cat7
6,24.0444,3.2866,29.2389,cat9
7,51.9092,39.4736,6.7905,cat19
8,68.3504,23.8714,25.9383,cat3
9,96.5976,4.1875,28.5177,cat11
10,23.8585,19.8854,1.4630,cat13
11,50.0225,22.5675,4.5391,cat16
12,19.0414,9.4949,12.3408,cat13
13,55.1243,16.2738,16.0820,cat11
14,45.5257,2.5344,25.4263,cat18
15,92.2655,44.8465,18.3391,cat6
16,96.1560,28.9518,16.1042,cat6
17,83.0450,20.0452,8.8691,cat11
18,28.3239,48.2975,18.6040,cat2
19,98.7018,40.3077,3.1620,cat8
20,2.3939,20.3492,9.5112,cat16
21,77.3558,35.6360,22.1412,cat12
22,91.5810,46.3887,19.8812,cat17
23,7.2923,31.5416,10.5960,cat7
24,59.5385,33.7732,20.3117,cat12
25,12.8398,44.4734,14.6942,cat19
26,24.3625,42.5968,21.9302,cat15
27,43.3266,25.1960,16.1593,cat2
28,89.6806,22.5275,6.8499,cat12
29,90.8491,16.4034,15.7486,cat2
30,21.1031,30.6165,16.6554,cat4
31,16.9609,4.7720,9.4028,cat17
32,11.4439,31.5933,9.5734,cat17
33,89.3633,40.3799,6.4105,cat17
34,36.2735,16.8929,4.5406,cat6
35,43.2837,6.3925,7.6101,cat0
36,17.3009,18.2759,9.8387,cat10
37,12.8667,21.4531,7.4411,cat5
38,22.6577,12.9622,5.8804,cat10
39,97.2064,35.4479,11.5453,cat5
40,71.5148,13.0969,21.1928,cat6
41,61.3469,14.9572,2.0697,cat19
42,35.1621,21.1408,1.9585,cat18
43,49.4558,12.7385,5.2020,cat8
44,9.0045,28.0918,18.1882,cat15
45,37.4105,12.6442,22.1183,cat9
46,81.8268,49.1877,12.5659,cat1
47,19.4653,41.9298,10.3026,cat13
48,22.8039,43.0596,10.4528,cat0
49,64.8721,26.0926,7.5684,cat1
50,52.2574,47.0856,12.5296,cat18
51,12.2339,7.7385,10.8909,cat4
52,23.6265,27.5310,21.1777,cat13
53,53.4354,41.0439,17.1008,cat5
54,56.2711,49.8164,28.9972,cat18
55,35.5717,32.0220,10.8319,cat14
56,41.0463,42.4864,25.8334,cat15
57,17.0012,32.4596,3.4401,cat15
58,37.8560,33.7804,17.8399,cat2
59,16.9200,33.5116,1.1468,cat6
60,99.4513,24.7951,14.0043,cat4
61,33.2146,35.8968,7.8802,cat3
62,72.3731,18.9570,22.5809,cat13
63,37.4039,28.8471,3.7166,cat12
64,97.9104,13.2726,18.1063,cat7
65,79.6863,44.7103,19.3030,cat7
66,86.5526,32.6101,20.3988,cat3
67,3.4073,36.4002,9.1424,cat15
68,47.5245,3.1366,29.8420,cat19
69,2.5302,45.8284,11.7346,cat19
