id,valor,peso,volumen,categoria
0,78.1894,40.0306,6.3196,cat5
1,6.7503,8.6449,5.5238,cat4
2,65.4380,17.3517,5.1431,cat0
3,22.0216,48.5256,25.1408,cat0
4,61.5537,49.6184,18.9070,cat5
5,61.5734,22.1653,9.4456,cat3
6,24.0444,3.2866,29.2389,cat4
7,51.9092,39.4736,6.7905,cat9
8,68.3504,23.8714,25.9383,cat1
9,96.5976,4.1875,28.5177,cat5
10,23.8585,19.8854,1.4630,cat6
11,50.0225,22.5675,4.5391,cat8
12,19.0414,9.4949,12.3408,cat6
13,55.1243,16.2738,16.0820,cat5
14,45.5257,2.5344,25.4263,cat9
15,92.2655,44.8465,18.3391,cat3
16,96.1560,28.9518,16.1042,cat3
17,83.0450,20.0452,8.8691,cat5
18,28.3239,48.2975,18.6040,cat1
19,98.7018,40.3077,3.1620,cat4
20,2.3939,20.3492,9.5112,cat8
21,77.3558,35.6360,22.1412,cat6
22,91.5810,46.3887,19.8812,cat8
23,7.2923,31.5416,10.5960,cat3
24,59.5385,33.7732,20.3117,cat6
25,12.8398,44.4734,14.6942,cat9
26,24.3625,42.5968,21.9302,cat7
27,43.3266,25.1960,16.1593,cat1
28,89.6806,22.5275,6.8499,cat6
29,90.8491,16.4034,15.7486,cat1
30,21.1031,30.6165,16.6554,cat2
31,16.9609,4.7720,9.4028,cat8
32,11.4439,31.5933,9.5734,cat8
33,89.3633,40.3799,6.4105,cat8
34,36.2735,16.8929,4.5406,cat3
35,43.2837,6.3925,7.6101,cat0
36,17.3009,18.2759,9.8387,cat5
37,12.8667,21.4531,7.4411,cat2
38,22.6577,12.9622,5.8804,cat5
39,97.2064,35.4479,11.5453,cat2
40,71.5148,13.0969,21.1928,cat3
41,61.3469,14.9572,2.0697,cat9
42,35.1621,21.1408,1.9585,cat9
43,49.4558,12.7385,5.2020,cat4
44,9.0045,28.0918,18.1882,cat7
45,37.4105,12.6442,22.1183,cat4
46,81.8268,49.1877,12.5659,cat0
47,19.4653,41.9298,10.3026,cat6
48,22.8039,43.0596,10.4528,cat0
49,64.8721,26.0926,7.5684,cat0
50,52.2574,47.0856,12.5296,cat9
51,12.2339,7.7385,10.8909,cat2
52,23.6265,27.5310,21.1777,cat6
53,53.4354,41.0439,17.1008,cat2
54,56.2711,49.8164,28.9972,cat9
55,35.5717,32.0220,10.8319,cat7
56,41.0463,42.4864,25.8334,cat7
57,17.0012,32.4596,3.4401,cat7
58,37.8560,33.7804,17.8399,cat1
59,16.9200,33.5116,1.1468,cat3
60,99.4513,24.7951,14.0043,cat2
61,33.2146,35.8968,7.8802,cat1
62,72.3731,18.9570,22.5809,cat6
63,37.4039,28.8471,3.7166,cat6
64,97.9104,13.2726,18.1063,cat3
65,79.6863,44.7103,19.3030,cat3
66,86.5526,32.6101,20.3988,cat1
67,3.4073,36.4002,9.1424,cat7
68,47.5245,3.1366,29.8420,cat9
69,2.5302,45.8284,11.7346,cat9
70,57.6570,17.2068,17.0302,cat9
71,39.1247,42.7975,9.5390,cat1
72,37.8960,14.1553,15.0731,cat5
73,57.4361,46.8716,21.1849,cat0
74,36.5060,11.2370,20.4632,cat1
75,74.3361,26.3982,26.4438,cat8
76,55.7292,7.6944,21.5584,cat2
77,86.8402,40.6587,24.4933,cat6
78,63.1615,4.9981,1.1504,cat7
79,79.7835,32.8482,21.3570,cat0
80,58.3076,44.4442,1.8009,cat0
81,47.0942,29.3357,2.0423,cat1
82,86.1801,49.1102,25.3291,cat0
83,36.6589,2.8301,24.8554,cat5
84,27.8827,17.0059,25.0082,cat2
85,6.1165,31.5216,3.4751,cat1
86,14.6970,21.1563,21.2859,cat7
87,32.9727,48.8168,15.9727,cat0
88,74.6602,20.5422,13.5721,cat0
89,83.7620,2.2422,28.9168,cat4
90,91.6062,34.7365,2.6876,cat1
91,71.7450,13.2619,16.9276,cat1
92,52.1529,46.7961,19.5098,cat7
93,42.5404,28.1633,18.7399,cat0
94,12.8963,28.7358,5.6007,cat0
95,5.0322,6.6876,2.3341,cat3
96,2.6989,48.9960,6.0846,cat0
97,18.1470,25.0892,14.7307,cat4
98,94.9654,32.8389,2.3937,cat6
99,62.9601,3.2199,11.8638,cat9
100,68.7124,25.5510,16.6419,cat1
101,3.6246,4.4579,19.6302,cat8
102,68.0397,32.1838,24.2275,cat3
103,55.0161,32.5211,14.2893,cat8
104,65.4970,31.6710,24.7924,cat9
105,10.9770,10.5938,3.0115,cat3
106,34.3189,2.9092,18.9294,cat0
107,3.3039,16.6298,25.5014,cat3
108,69.5961,13.7740,15.3851,cat6
109,73.7720,31.8182,26.4467,cat4
110,42.9236,48.4114,16.8912,cat7
111,41.8492,40.5349,29.7246,cat1
112,86.8445,13.2508,17.8358,cat9
113,75.3362,43.0622,13.4408,cat7
114,53.8984,12.6736,11.9541,cat5
115,89.6568,41.4964,10.2814,cat0
116,84.8672,3.6208,28.7977,cat0
117,95.1101,16.6464,28.5518,cat4
118,10.0787,25.1583,3.4152,cat2
119,75.4851,17.1046,20.5030,cat9
120,93.1620,39.2835,4.2905,cat4
121,44.7115,3.8204,16.9363,cat7
122,96.8965,27.7499,21.4691,cat1
123,11.0111,38.3140,18.9283,cat8
124,40.2685,21.8785,7.4547,cat8
125,9.3989,35.6059,3.3591,cat2
126,88.1556,29.4840,26.0310,cat8
127,75.5844,47.4152,29.5940,cat3
128,38.4208,35.7009,14.9683,cat5
129,12.0086,21.7869,27.2843,cat4
130,57.5758,13.4304,12.7509,cat0
131,65.2718,6.8221,4.4083,cat7
132,40.6221,34.3709,7.8877,cat3
133,23.1360,14.9999,26.1894,cat4
134,56.0445,40.3034,29.3591,cat0
135,99.3035,44.6660,16.3033,cat9
136,8.4680,13.3965,21.1669,cat5
137,45.9996,31.8405,21.1767,cat9
138,73.9730,35.1493,12.1419,cat0
139,89.1361,14.7672,28.5619,cat3
