variante,hilos,instancia,n,avg_time_ms,std_time_ms,avg_valor,std_valor,max_fitness,max_valor_factible,pct_factibles,speedup,eficiencia
islands,1,data/large,15,25549.5168,85.1802,247019.1919,1092.0026,248788.1793,248788.1793,100.0,0.9969,0.9969
islands,1,data/medium,15,1858.7272,9.8476,25508.7640,278.4445,25956.1507,25956.1507,100.0,1.0042,1.0042
islands,1,data/small,15,243.8507,2.0785,3155.5134,11.1633,3173.4653,3173.4653,100.0,0.9906,0.9906
islands,2,data/large,15,26245.4150,124.5662,251470.8520,1234.5662,253436.5999,253436.5999,100.0,0.9705,0.4853
islands,2,data/medium,15,1917.2474,11.5269,25943.1792,205.2970,26335.1127,26335.1127,100.0,0.9735,0.4868
islands,2,data/small,15,251.5707,3.6748,3168.9891,11.0480,3187.6905,3187.6905,100.0,0.9602,0.4801
islands,4,data/large,15,28024.9333,122.3193,252554.3165,920.1326,254445.0599,254445.0599,100.0,0.9089,0.2272
islands,4,data/medium,15,2055.0666,18.7192,26218.2521,164.5120,26564.1047,26564.1047,100.0,0.9082,0.2271
islands,4,data/small,15,272.7982,7.0775,3172.6625,9.1787,3187.6905,3187.6905,100.0,0.8854,0.2214
islands,8,data/large,15,36542.7152,102.0177,253339.0397,963.8053,255817.5034,255817.5034,100.0,0.6970,0.0871
islands,8,data/medium,15,2725.8731,56.4422,26399.3080,156.4436,26706.2097,26706.2097,100.0,0.6847,0.0856
islands,8,data/small,15,431.3856,4.2630,3181.1599,6.0601,3187.6905,3187.6905,100.0,0.5599,0.0700
parallel,1,data/large,15,25465.4574,89.2722,247547.3257,1485.7012,250999.3264,250999.3264,100.0,1.0002,1.0002
parallel,1,data/medium,15,1863.3596,8.6820,25620.0889,288.6713,26240.9589,26240.9589,100.0,1.0017,1.0017
parallel,1,data/small,15,242.6211,1.6256,3156.1560,17.0732,3183.3041,3183.3041,100.0,0.9956,0.9956
parallel,2,data/large,15,14469.3811,77.4508,247738.4475,1125.2622,249456.0538,249456.0538,100.0,1.7604,0.8802
parallel,2,data/medium,15,1094.8472,6.5075,25670.9999,320.6673,26186.3059,26186.3059,100.0,1.7048,0.8524
parallel,2,data/small,15,168.0413,1.2756,3161.0648,14.4635,3177.9822,3177.9822,100.0,1.4374,0.7187
parallel,4,data/large,15,9168.9195,60.4129,246773.6586,987.1545,248404.4457,248404.4457,100.0,2.7780,0.6945
parallel,4,data/medium,15,716.6113,5.8305,25520.1676,282.8973,26088.5567,26088.5567,100.0,2.6046,0.6511
parallel,4,data/small,15,131.0234,2.7127,3159.0066,13.7866,3172.4191,3172.4191,100.0,1.8435,0.4609
parallel,8,data/large,15,7217.2997,42.0406,247372.8361,1153.8119,250945.3719,250945.3719,100.0,3.5292,0.4412
parallel,8,data/medium,15,594.0554,2.8457,25539.8251,264.7377,25951.5616,25951.5616,100.0,3.1419,0.3927
parallel,8,data/small,15,138.6905,0.5443,3162.0702,14.3809,3187.6905,3187.6905,100.0,1.7416,0.2177
sequential,1,data/large,15,25471.3058,106.2927,247547.3257,1485.7012,250999.3264,250999.3264,100.0,1.0000,1.0000
sequential,1,data/medium,15,1866.4591,8.9435,25620.0889,288.6713,26240.9589,26240.9589,100.0,1.0000,1.0000
sequential,1,data/small,15,241.5475,1.3554,3156.1560,17.0732,3183.3041,3183.3041,100.0,1.0000,1.0000
