variante,hilos,semilla,instancia,tiempo_ms,mejor_fitness,mejor_valor_factible,factible
sequential,1,1,data/small,263.8576,3151.8564,3151.8564,1
sequential,1,2,data/small,271.2651,3163.2655,3163.2655,1
sequential,1,3,data/small,260.0093,3167.3553,3167.3553,1
parallel,1,1,data/small,261.9520,3151.8564,3151.8564,1
parallel,1,2,data/small,258.8592,3163.2655,3163.2655,1
parallel,1,3,data/small,257.7472,3167.3553,3167.3553,1
parallel,2,1,data/small,172.4216,3172.0100,3172.0100,1
parallel,2,2,data/small,172.6582,3161.9784,3161.9784,1
parallel,2,3,data/small,173.5554,3137.5492,3137.5492,1
parallel,4,1,data/small,133.7006,3171.8292,3171.8292,1
parallel,4,2,data/small,132.8772,3157.3821,3157.3821,1
parallel,4,3,data/small,134.8750,3171.1060,3171.1060,1
parallel,8,1,data/small,145.5104,3155.3168,3155.3168,1
parallel,8,2,data/small,145.0338,3187.6905,3187.6905,1
parallel,8,3,data/small,146.2553,3163.8192,3163.8192,1
islands,1,1,data/small,259.8349,3141.6147,3141.6147,1
islands,1,2,data/small,261.2475,3140.7856,3140.7856,1
islands,1,3,data/small,263.1105,3171.2426,3171.2426,1
islands,2,1,data/small,263.8174,3161.8467,3161.8467,1
islands,2,2,data/small,252.8488,3174.3565,3174.3565,1
islands,2,3,data/small,273.4302,3161.9052,3161.9052,1
islands,4,1,data/small,318.9304,3159.3127,3159.3127,1
islands,4,2,data/small,320.0956,3164.1772,3164.1772,1
islands,4,3,data/small,315.7507,3179.4262,3179.4262,1
islands,8,1,data/small,424.4225,3169.7025,3169.7025,1
islands,8,2,data/small,421.1519,3170.9175,3170.9175,1
islands,8,3,data/small,420.7952,3187.6905,3187.6905,1
