variante,hilos,semilla,instancia,tiempo_ms,mejor_fitness,mejor_valor_factible,factible
sequential,1,1,data/small,241.9600,3151.8564,3151.8564,1
sequential,1,2,data/small,241.6167,3163.2655,3163.2655,1
sequential,1,3,data/small,244.2702,3167.3553,3167.3553,1
sequential,1,4,data/small,241.2696,3178.9831,3178.9831,1
sequential,1,5,data/small,242.2598,3135.5397,3135.5397,1
sequential,1,6,data/small,239.9612,3159.8376,3159.8376,1
sequential,1,7,data/small,240.3292,3140.3805,3140.3805,1
sequential,1,8,data/small,241.0816,3166.6415,3166.6415,1
sequential,1,9,data/small,239.6971,3183.3041,3183.3041,1
sequential,1,10,data/small,242.3190,3156.9977,3156.9977,1
sequential,1,11,data/small,242.4040,3124.6417,3124.6417,1
sequential,1,12,data/small,242.2575,3150.5431,3150.5431,1
sequential,1,13,data/small,242.2096,3177.9822,3177.9822,1
sequential,1,14,data/small,242.8285,3153.6434,3153.6434,1
sequential,1,15,data/small,238.7492,3131.3686,3131.3686,1
parallel,1,1,data/small,243.8210,3151.8564,3151.8564,1
parallel,1,2,data/small,242.1233,3163.2655,3163.2655,1
parallel,1,3,data/small,240.7710,3167.3553,3167.3553,1
parallel,1,4,data/small,243.4303,3178.9831,3178.9831,1
parallel,1,5,data/small,242.1708,3135.5397,3135.5397,1
parallel,1,6,data/small,240.7078,3159.8376,3159.8376,1
parallel,1,7,data/small,244.9024,3140.3805,3140.3805,1
parallel,1,8,data/small,244.4920,3166.6415,3166.6415,1
parallel,1,9,data/small,244.3651,3183.3041,3183.3041,1
parallel,1,10,data/small,243.0563,3156.9977,3156.9977,1
parallel,1,11,data/small,243.8968,3124.6417,3124.6417,1
parallel,1,12,data/small,242.2374,3150.5431,3150.5431,1
parallel,1,13,data/small,241.6690,3177.9822,3177.9822,1
parallel,1,14,data/small,242.9612,3153.6434,3153.6434,1
parallel,1,15,data/small,238.7122,3131.3686,3131.3686,1
parallel,2,1,data/small,165.7722,3172.0100,3172.0100,1
parallel,2,2,data/small,169.6737,3161.9784,3161.9784,1
parallel,2,3,data/small,169.1204,3137.5492,3137.5492,1
parallel,2,4,data/small,165.3182,3171.4425,3171.4425,1
parallel,2,5,data/small,168.6135,3161.8467,3161.8467,1
parallel,2,6,data/small,168.9953,3177.9822,3177.9822,1
parallel,2,7,data/small,168.9966,3172.9637,3172.9637,1
parallel,2,8,data/small,167.8561,3143.7251,3143.7251,1
parallel,2,9,data/small,169.5996,3176.8743,3176.8743,1
parallel,2,10,data/small,168.4202,3174.8387,3174.8387,1
parallel,2,11,data/small,166.7156,3150.7913,3150.7913,1
parallel,2,12,data/small,168.3822,3161.1938,3161.1938,1
parallel,2,13,data/small,166.8792,3128.2168,3128.2168,1
parallel,2,14,data/small,168.2260,3161.8467,3161.8467,1
parallel,2,15,data/small,168.0501,3162.7122,3162.7122,1
parallel,4,1,data/small,130.2766,3171.8292,3171.8292,1
parallel,4,2,data/small,141.0228,3157.3821,3157.3821,1
parallel,4,3,data/small,131.5562,3171.1060,3171.1060,1
parallel,4,4,data/small,130.3122,3124.7165,3124.7165,1
parallel,4,5,data/small,130.1369,3157.8252,3157.8252,1
parallel,4,6,data/small,130.7617,3164.2815,3164.2815,1
parallel,4,7,data/small,129.9466,3155.7683,3155.7683,1
parallel,4,8,data/small,130.6115,3155.3853,3155.3853,1
parallel,4,9,data/small,129.7256,3130.5315,3130.5315,1
parallel,4,10,data/small,130.4138,3171.1060,3171.1060,1
parallel,4,11,data/small,130.0989,3157.2486,3157.2486,1
parallel,4,12,data/small,129.9757,3172.4191,3172.4191,1
parallel,4,13,data/small,130.8366,3161.1938,3161.1938,1
parallel,4,14,data/small,129.7736,3171.1060,3171.1060,1
parallel,4,15,data/small,129.9026,3163.2001,3163.2001,1
parallel,8,1,data/small,138.3940,3155.3168,3155.3168,1
parallel,8,2,data/small,138.1837,3187.6905,3187.6905,1
parallel,8,3,data/small,138.6744,3163.8192,3163.8192,1
parallel,8,4,data/small,139.2422,3166.4364,3166.4364,1
parallel,8,5,data/small,139.9229,3122.4844,3122.4844,1
parallel,8,6,data/small,139.0772,3162.2162,3162.2162,1
parallel,8,7,data/small,138.3199,3170.1414,3170.1414,1
parallel,8,8,data/small,138.5037,3169.7025,3169.7025,1
parallel,8,9,data/small,137.8197,3172.4255,3172.4255,1
parallel,8,10,data/small,139.0121,3158.0769,3158.0769,1
parallel,8,11,data/small,139.3684,3170.1414,3170.1414,1
parallel,8,12,data/small,138.2804,3151.9962,3151.9962,1
parallel,8,13,data/small,138.5960,3153.5556,3153.5556,1
parallel,8,14,data/small,138.0520,3176.1945,3176.1945,1
parallel,8,15,data/small,138.9110,3150.8555,3150.8555,1
islands,1,1,data/small,243.5985,3141.6147,3141.6147,1
islands,1,2,data/small,243.6693,3140.7856,3140.7856,1
islands,1,3,data/small,245.0706,3171.2426,3171.2426,1
islands,1,4,data/small,250.4236,3157.1256,3157.1256,1
islands,1,5,data/small,243.4759,3155.8253,3155.8253,1
islands,1,6,data/small,241.2847,3173.4653,3173.4653,1
islands,1,7,data/small,243.1018,3152.0274,3152.0274,1
islands,1,8,data/small,244.4814,3166.6138,3166.6138,1
